"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.04423,0.02483,0.07413,0.03016,-2.153,16.35
"Mean",-0.02346,0.03022,0.08128,0.02802,-1.754,17.18
"P.975",-0.007806,0.0356,0.08692,0.02683,-1.175,16.6
"SD",0.0009776,0.002752,0.01011,0.002749,1.996,5.371
"Skew",-0.05949,0.004739,0.07249,0.03495,-0.03556,3.216
"Kurt",2.87,2.997,3.148,0.07053,0.3251,2.968
