locate,point,date,cse,q.in,ec.in,t.in,q.out,ec.out,t.out,di,q.x
BIG,BIG,3/12/2009,17.8,0.311485312,2.31,7.2,2.378615114,4.22,4.6,NA,0.172732764
BIG,BIG,6/25/2009,17,0.424752699,1.83,20.95,2.095446648,4.08,25,NA,0.215208034
BIG,BIG,8/28/2009,22.4,0.339802159,1.61,22.85,2.718417273,3.87,22.6,NA,0.311485312
BIG,BIG,1/6/2010,NA,0.622970625,2.28,2.6,3.709506903,4.21,2.3,NA,0.764554858
BIG,BIG,3/19/2010,16.4,0.311485312,2.26,7.55,3.398021591,4.23,7.6,NA,0.311485312
BIG,BIG,6/10/2010,20,0.509703239,2.06,21.05,1.302574943,4.17,23.6,NA,0.311485312
BIG,BIG,8/12/2010,17.1,0.396435852,1.54,26,4.502378608,3.22,25.8,NA,0.368119006
BIG,BIG,11/21/2010,25.7,0.099108963,2.05,6,1.840595028,4.38,7.6,NA,0.161406026
BIG,BIG,3/8/2011,20.8,0.220871403,2.23,5.1,2.293664574,4.19,4.2,NA,0.155742656
BIG,BIG,5/21/2011,23.5,0.311485312,2.4,15.6,0.707921165,4.39,18.8,NA,0.16423771
