"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.01303,-0.006905,2.954e-05,0.003485,0.2697,3.569
"Mean",-0.009378,-0.004739,0.0003984,0.002747,1.03,8.039
"P.975",-0.005284,-0.002568,0.000869,0.002059,3.962,35.96
"SD",0.0002239,0.001121,0.002014,0.0004871,0.1762,2.933
"Skew",-0.4507,-0.04595,0.2002,0.1703,-0.4066,4.466
"Kurt",2.666,2.818,3.392,0.1642,3.145,14.27
