"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.175,-0.07261,0.00603,0.04762,-0.3605,3.536
"Mean",-0.1185,-0.04297,0.03494,0.03927,0.3239,5.12
"P.975",-0.07749,-0.01394,0.0833,0.0385,1.275,7.715
"SD",0.004698,0.01486,0.03802,0.009262,1.161,3.435
"Skew",-0.1594,-0.04598,0.05765,0.0664,3.029,48.2
"Kurt",2.994,3.291,3.639,0.1696,0.7516,6.661
