"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.1033,0.0302,0.1658,0.0651,0.04485,6.555
"Mean",-0.08082,0.04976,0.1991,0.06603,0.4915,6.927
"P.975",-0.05938,0.06935,0.2399,0.06886,0.8635,7.141
"SD",0.002776,0.009993,0.02275,0.005819,0.7602,2.549
"Skew",-0.06477,0.001332,0.06857,0.03432,0.1044,3.217
"Kurt",2.881,2.998,3.137,0.06757,0.3683,3.459
