"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.0428,0.0188,0.05365,0.02388,-1.861,10.95
"Mean",-0.01992,0.02911,0.06515,0.02072,-1.069,9.455
"P.975",0.005414,0.03939,0.07852,0.01916,0.0525,8.522
"SD",0.003181,0.005217,0.01233,0.003356,3.014,15.46
"Skew",-0.3155,-0.006803,0.3954,0.1471,0.559,5.893
"Kurt",2.977,3.341,3.656,0.1735,-0.0739,3.731
