"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.04958,0.01717,0.0498,0.02823,-2.794,20
"Mean",0.03297,0.07826,0.1842,0.03988,1.046,4.964
"P.975",0.06038,0.1401,0.3746,0.0865,1.644,4.562
"SD",0.0134,0.03081,0.09538,0.02521,1.69,4.314
"Skew",-0.1824,0.07829,0.2389,0.1188,-3.723,26.92
"Kurt",3.236,3.583,4.045,0.2087,1.307,8.632
