"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.0295,0.02534,0.06181,0.02392,-2.634,23.64
"Mean",-0.01116,0.02957,0.06635,0.02214,-2.055,24.42
"P.975",0.007968,0.0338,0.0717,0.02115,-1.253,23.19
"SD",0.0009508,0.002159,0.01004,0.002251,2.924,10.16
"Skew",-0.07091,-0.001005,0.06851,0.03493,-0.03647,3.075
"Kurt",2.87,2.998,3.14,0.06912,0.1482,3.014
