"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.2338,-0.07489,-0.03549,0.04744,-2.405,8.215
"Mean",-0.116,-0.0449,-0.01913,0.02346,-1.498,7.971
"P.975",-0.03506,-0.01521,0.02403,0.01655,3.723,31.52
"SD",0.006858,0.0149,0.05928,0.01326,2.59,8.468
"Skew",-0.2542,-0.0907,0.05231,0.1042,4.21,38.88
"Kurt",3.362,3.73,4.217,0.2203,0.9036,5.661
