"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.07166,-0.0338,-0.008175,0.02116,1.254,23.25
"Mean",-0.06632,-0.02957,0.01109,0.02214,2.053,24.4
"P.975",-0.06169,-0.02534,0.02998,0.02392,2.64,23.62
"SD",0.0009523,0.002159,0.01006,0.002252,2.925,10.17
"Skew",-0.06771,-0.001408,0.06447,0.03429,-0.008974,2.909
"Kurt",2.873,2.996,3.139,0.06801,0.2869,2.887
